2020;32;2020.08.07.;0;38 145 589 EUR;0;409 769 EUR;0;22 742 155 Ft;1;956 110 Ft;20;58 405 Ft;52;25 315 Ft;54;15 095 Ft;993;5 065 Ft;883;5 820 Ft;2003;4 025 Ft;4497;2 990 Ft;14990;2 325 Ft;4;9;15;24;28;2;6
2020;31;2020.07.31.;0;0 EUR;0;639 204 EUR;0;40 543 800 Ft;0;1 261 335 Ft;51;63 245 Ft;49;33 180 Ft;57;20 410 Ft;1557;4 940 Ft;629;7 390 Ft;1880;4 845 Ft;3456;3 555 Ft;19300;2 200 Ft;3;19;28;43;49;2;3
2020;30;2020.07.24.;0;0 EUR;0;327 074 EUR;1;21 178 085 Ft;6;568 520 Ft;60;53 905 Ft;101;23 305 Ft;179;10 915 Ft;1646;4 590 Ft;1814;4 685 Ft;2818;3 835 Ft;7519;2 485 Ft;17961;2 235 Ft;7;11;19;32;43;2;8
2020;29;2020.07.17.;0;0 EUR;0;1 056 524 EUR;0;29 318 540 Ft;2;1 737 390 Ft;26;77 555 Ft;43;31 795 Ft;67;19 780 Ft;1045;5 690 Ft;837;7 015 Ft;2263;4 185 Ft;3812;3 520 Ft;12672;2 545 Ft;13;21;25;34;35;5;10
2020;28;2020.07.10.;0;0 EUR;0;492 693 EUR;0;19 886 875 Ft;3;1 121 820 Ft;27;61 140 Ft;40;25 885 Ft;62;16 230 Ft;1008;4 780 Ft;1010;5 915 Ft;1686;3 900 Ft;5250;2 925 Ft;14817;2 295 Ft;5;6;9;15;29;4;9
2020;27;2020.07.03.;0;0 EUR;0;911 175 EUR;0;101 140 465 Ft;1;1 123 770 Ft;14;75 920 Ft;26;36 795 Ft;62;15 125 Ft;674;5 380 Ft;800;5 880 Ft;1217;4 875 Ft;4705;2 735 Ft;10976;2 455 Ft;12;34;36;47;48;5;7
2020;26;2020.06.26.;0;44 565 942 EUR;0;362 616 EUR;0;26 833 580 Ft;1;1 364 395 Ft;14;70 540 Ft;30;32 270 Ft;48;19 720 Ft;904;5 440 Ft;686;7 015 Ft;1283;4 750 Ft;3956;3 365 Ft;13414;2 485 Ft;14;16;32;34;47;7;9
2020;25;2020.06.19.;0;0 EUR;0;511 834 EUR;0;37 875 740 Ft;0;1 052 095 Ft;20;71 990 Ft;30;35 160 Ft;99;15 095 Ft;929;5 755 Ft;1297;5 755 Ft;1518;4 750 Ft;6506;2 860 Ft;12677;2 545 Ft;2;22;33;38;47;2;9
2020;24;2020.06.12.;0;0 EUR;0;628 145 EUR;0;34 862 075 Ft;1;1 025 335 Ft;19;75 670 Ft;32;36 545 Ft;81;15 350 Ft;804;5 565 Ft;1145;5 565 Ft;1472;4 750 Ft;6041;2 545 Ft;12230;2 515 Ft;7;16;22;30;48;2;8
2020;23;2020.06.05.;0;0 EUR;0;445 734 EUR;0;24 738 255 Ft;2;1 499 285 Ft;31;74 380 Ft;67;29 090 Ft;63;18 870 Ft;1056;5 315 Ft;641;7 075 Ft;2300;4 025 Ft;3086;3 460 Ft;12372;2 515 Ft;9;16;17;29;39;1;8
2020;22;2020.05.29.;0;33 290 606 EUR;0;701 466 EUR;0;58 397 085 Ft;0;1 730 255 Ft;11;107 305 Ft;18;41 105 Ft;30;25 160 Ft;569;6 950 Ft;488;9 120 Ft;1454;4 905 Ft;2578;4 150 Ft;10126;2 895 Ft;8;22;31;32;36;6;10
2020;21;2020.05.22.;0;0 EUR;1;486 464 EUR;0;35 998 360 Ft;1;1 411 695 Ft;19;79 885 Ft;39;35 255 Ft;40;24 435 Ft;911;6 165 Ft;587;8 680 Ft;1596;4 905 Ft;3158;4 055 Ft;12892;2 675 Ft;12;15;32;40;45;7;10
2020;20;2020.05.15.;0;0 EUR;0;625 675 EUR;0;69 449 965 Ft;0;2 240 310 Ft;15;89 790 Ft;24;37 675 Ft;36;25 475 Ft;727;6 355 Ft;513;8 775 Ft;1598;4 720 Ft;2620;4 150 Ft;11807;2 735 Ft;21;27;29;34;49;8;10
2020;19;2020.05.08.;0;13 286 943 EUR;0;472 109 EUR;0;26 202 095 Ft;0;1 518 940 Ft;26;74 755 Ft;32;33 840 Ft;35;23 590 Ft;1112;5 505 Ft;576;8 395 Ft;1423;4 780 Ft;2925;4 025 Ft;14257;2 420 Ft;9;11;15;36;43;8;9
